,user_id,grade_id,sex,height,weight,bmi,usa_routes
478,32618.0,55.0,0,183,68,20.305174833527424,5.12c
481,32885.0,64.0,0,168,58,20.549886621315196,5.13c
483,32978.0,53.0,0,178,68,21.461936624163616,5.12b
484,33018.0,51.0,0,188,83,23.48347668628339,5.12a
485,33026.0,46.0,0,198,88,22.44668911335578,5.11b
486,33043.0,46.0,0,177,73,23.301094832264035,5.11b
487,33064.0,64.0,0,167,53,19.003908350962746,5.13c
489,33160.0,68.0,0,181,63,19.230182228869694,5.14a
490,33207.0,36.0,0,191,88,24.12214577451276,5.10a
491,33210.0,51.0,0,173,63,21.04981790236894,5.12a
493,33273.0,70.0,0,176,63,20.33832644628099,5.14b
494,33278.0,53.0,0,170,58,20.06920415224914,5.12b
495,33408.0,55.0,0,171,63,21.545090797168363,5.12c
496,33428.0,51.0,0,255,78,11.995386389850058,5.12a
498,33484.0,55.0,0,173,68,22.720438370810918,5.12c
499,33634.0,42.0,0,190,83,22.991689750692522,5.10d
504,34025.0,62.0,0,183,73,21.798202394816204,5.13b
505,34034.0,64.0,0,175,68,22.20408163265306,5.13c
506,34050.0,51.0,0,180,68,20.98765432098765,5.12a
508,34124.0,40.0,0,198,68,17.345168860320378,5.10c
509,34143.0,46.0,0,170,73,25.25951557093426,5.11b
510,34152.0,59.0,0,179,73,22.783308885490467,5.13a
511,34162.0,59.0,0,177,68,21.705129432793896,5.13a
513,34249.0,51.0,0,185,78,22.79035792549306,5.12a
515,34344.0,62.0,0,175,68,22.20408163265306,5.13b
516,34418.0,64.0,0,176,68,21.952479338842977,5.13c
518,34437.0,44.0,0,175,73,23.836734693877553,5.11a
519,34479.0,51.0,0,186,68,19.65545149728292,5.12a
521,34502.0,40.0,0,172,58,19.60519199567334,5.10c
522,34510.0,46.0,0,177,68,21.705129432793896,5.11b
524,34706.0,49.0,0,187,78,22.305470559638533,5.11d
525,34785.0,68.0,0,180,63,19.444444444444443,5.14a
526,34845.0,40.0,0,183,98,29.26334020126011,5.10c
527,34923.0,62.0,0,167,58,20.796729893506402,5.13b
528,34959.0,44.0,0,177,73,23.301094832264035,5.11a
529,34998.0,62.0,0,173,73,24.3910588392529,5.13b
530,35057.0,55.0,0,175,73,23.836734693877553,5.12c
531,35143.0,62.0,0,180,73,22.530864197530864,5.13b
532,35152.0,55.0,0,178,68,21.461936624163616,5.12c
533,35159.0,59.0,0,172,63,21.29529475392104,5.13a
534,35202.0,13.0,0,180,78,24.074074074074073,5.3
535,35237.0,64.0,0,178,68,21.461936624163616,5.13c
536,35314.0,57.0,0,175,68,22.20408163265306,5.12d
538,35406.0,59.0,0,185,78,22.79035792549306,5.13a
539,35424.0,55.0,0,174,63,20.808561236623067,5.12c
540,35452.0,40.0,0,180,83,25.61728395061728,5.10c
541,35514.0,40.0,0,168,73,25.86451247165533,5.10c
542,35520.0,46.0,0,180,63,19.444444444444443,5.11b
543,35526.0,53.0,0,177,78,24.897060231734173,5.12b
544,35531.0,62.0,0,183,78,23.291229956104985,5.13b
545,35537.0,62.0,0,180,58,17.901234567901234,5.13b
547,35685.0,46.0,0,177,68,21.705129432793896,5.11b
548,35695.0,51.0,0,187,88,25.165146272412706,5.12a
550,35728.0,44.0,0,180,68,20.98765432098765,5.11a
551,35823.0,51.0,0,182,73,22.03840115928028,5.12a
552,35869.0,68.0,0,173,63,21.04981790236894,5.14a
553,35910.0,70.0,0,175,68,22.20408163265306,5.14b
554,35921.0,51.0,0,183,73,21.798202394816204,5.12a
555,35997.0,40.0,0,175,78,25.46938775510204,5.10c
556,36096.0,36.0,0,188,78,22.068809416025353,5.10a
557,36297.0,64.0,0,165,73,26.813590449954088,5.13c
